Configuracao,N,K,P,Iteracoes,SSE,TempoTotal(ms),TempoComp(ms),TempoComm(ms),CommRatio(%)
MPI,10000,4,1,9,5602287.147112,2.439,2.176,0.263,10.79
MPI,10000,4,2,9,5602287.147112,1.819,0.834,0.985,54.14
MPI,10000,4,4,9,5602287.147112,58.875,-7.234,66.109,112.29
MPI,10000,4,8,9,5602287.147112,69.773,-12.440,82.213,117.83
MPI,100000,8,1,5,785489.509394,28.270,25.490,2.779,9.83
MPI,100000,8,2,5,785489.509394,13.841,11.078,2.763,19.97
MPI,100000,8,4,5,785489.509394,42.376,2.560,39.816,93.96
MPI,100000,8,8,5,785489.509394,287.273,-95.983,383.257,133.41
MPI,1000000,16,1,19,253407770.163695,2232.204,2200.890,31.314,1.40
MPI,1000000,16,2,19,253407770.163579,1149.441,1082.706,66.735,5.81
MPI,1000000,16,4,19,253407770.163659,922.379,659.715,262.663,28.48
MPI,1000000,16,8,19,253407770.163648,1044.920,577.898,467.022,44.69
